location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_revenue_30d,rec3_explanation
Urban,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,58.87,0,14923.05,No rules applied to this segment,58.87,0,14923.05,No rules applied to this segment,58.87,0,14923.05,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,50.75,0,11360.28,No rules applied to this segment,50.75,0,11360.28,No rules applied to this segment,50.75,0,11360.28,No rules applied to this segment
Rural,Gold,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,56.84,0,15270.51,No rules applied to this segment,56.84,0,15270.51,No rules applied to this segment,56.84,0,15270.51,No rules applied to this segment
Urban,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,46.69,0,9095.44,No rules applied to this segment,46.69,0,9095.44,No rules applied to this segment,46.69,0,9095.44,No rules applied to this segment
Suburban,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,50.75,0,10472.25,No rules applied to this segment,50.75,0,10472.25,No rules applied to this segment,50.75,0,10472.25,No rules applied to this segment
Rural,Gold,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,62.93,0,17135.83,No rules applied to this segment,62.93,0,17135.83,No rules applied to this segment,62.93,0,17135.83,No rules applied to this segment
Urban,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,34.51,0,6567.27,No rules applied to this segment,34.51,0,6567.27,No rules applied to this segment,34.51,0,6567.27,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,53.79,0,9190.26,No rules applied to this segment,53.79,0,9190.26,No rules applied to this segment,53.79,0,9190.26,No rules applied to this segment
Rural,Gold,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,51.76,0,8873.65,No rules applied to this segment,51.76,0,8873.65,No rules applied to this segment,51.76,0,8873.65,No rules applied to this segment
Urban,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,59.59,0,14434.08,No rules applied to this segment,59.59,0,14434.08,No rules applied to this segment,59.59,0,14434.08,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,53.53,0,12131.02,No rules applied to this segment,53.53,0,12131.02,No rules applied to this segment,53.53,0,12131.02,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,51.51,0,12136.95,No rules applied to this segment,51.51,0,12136.95,No rules applied to this segment,51.51,0,12136.95,No rules applied to this segment
Urban,Gold,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,63.63,0,17407.12,No rules applied to this segment,63.63,0,17407.12,No rules applied to this segment,63.63,0,17407.12,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,43.43,0,9847.13,No rules applied to this segment,43.43,0,9847.13,No rules applied to this segment,43.43,0,9847.13,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,67.67,0,19253.88,No rules applied to this segment,67.67,0,19253.88,No rules applied to this segment,67.67,0,19253.88,No rules applied to this segment
Urban,Gold,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,35.35,0,6613.34,No rules applied to this segment,35.35,0,6613.34,No rules applied to this segment,35.35,0,6613.34,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,48.48,0,8466.62,No rules applied to this segment,48.48,0,8466.62,No rules applied to this segment,48.48,0,8466.62,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,51.51,0,8685.34,No rules applied to this segment,51.51,0,8685.34,No rules applied to this segment,51.51,0,8685.34,No rules applied to this segment
Urban,Gold,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,8216.25,No rules applied to this segment,39.19,0,8216.25,No rules applied to this segment,39.19,0,8216.25,No rules applied to this segment
Suburban,Gold,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,37.18,0,6025.51,No rules applied to this segment,37.18,0,6025.51,No rules applied to this segment,37.18,0,6025.51,No rules applied to this segment
Rural,Gold,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,43.21,0,9676.93,No rules applied to this segment,43.21,0,9676.93,No rules applied to this segment,43.21,0,9676.93,No rules applied to this segment
Urban,Gold,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,43.21,0,9526.71,No rules applied to this segment,43.21,0,9526.71,No rules applied to this segment,43.21,0,9526.71,No rules applied to this segment
Suburban,Gold,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,9853.1,No rules applied to this segment,49.24,0,9853.1,No rules applied to this segment,49.24,0,9853.1,No rules applied to this segment
Rural,Gold,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,45.22,0,7651.02,No rules applied to this segment,45.22,0,7651.02,No rules applied to this segment,45.22,0,7651.02,No rules applied to this segment
Urban,Gold,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,37.18,0,6160.73,No rules applied to this segment,37.18,0,6160.73,No rules applied to this segment,37.18,0,6160.73,No rules applied to this segment
Suburban,Gold,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,8301.03,No rules applied to this segment,49.24,0,8301.03,No rules applied to this segment,49.24,0,8301.03,No rules applied to this segment
Rural,Gold,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,48.24,0,8198.49,No rules applied to this segment,48.24,0,8198.49,No rules applied to this segment,48.24,0,8198.49,No rules applied to this segment
Urban,Gold,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,42.63,0,4553.36,No rules applied to this segment,42.63,0,4553.36,No rules applied to this segment,42.63,0,4553.36,No rules applied to this segment
Suburban,Gold,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,40.6,0,4447.19,No rules applied to this segment,40.6,0,4447.19,No rules applied to this segment,40.6,0,4447.19,No rules applied to this segment
Rural,Gold,Economy,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,46.69,0,5586.93,No rules applied to this segment,46.69,0,5586.93,No rules applied to this segment,46.69,0,5586.93,No rules applied to this segment
Urban,Gold,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,58.87,0,9529.16,No rules applied to this segment,58.87,0,9529.16,No rules applied to this segment,58.87,0,9529.16,No rules applied to this segment
Suburban,Gold,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,64.96,0,14782.4,No rules applied to this segment,64.96,0,14782.4,No rules applied to this segment,64.96,0,14782.4,No rules applied to this segment
Rural,Gold,Economy,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,69.02,0,13532.42,No rules applied to this segment,69.02,0,13532.42,No rules applied to this segment,69.02,0,13532.42,No rules applied to this segment
Urban,Gold,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,42.63,0,6027.24,No rules applied to this segment,42.63,0,6027.24,No rules applied to this segment,42.63,0,6027.24,No rules applied to this segment
Suburban,Gold,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,42.63,0,7011.7,No rules applied to this segment,42.63,0,7011.7,No rules applied to this segment,42.63,0,7011.7,No rules applied to this segment
Rural,Gold,Economy,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,38.57,0,4462.2,No rules applied to this segment,38.57,0,4462.2,No rules applied to this segment,38.57,0,4462.2,No rules applied to this segment
Urban,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.39,0,3825.01,No rules applied to this segment,39.39,0,3825.01,No rules applied to this segment,39.39,0,3825.01,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,37.37,0,3268.21,No rules applied to this segment,37.37,0,3268.21,No rules applied to this segment,37.37,0,3268.21,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,43.43,0,6113.67,No rules applied to this segment,43.43,0,6113.67,No rules applied to this segment,43.43,0,6113.67,No rules applied to this segment
Urban,Gold,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,63.63,0,14106.2,No rules applied to this segment,63.63,0,14106.2,No rules applied to this segment,63.63,0,14106.2,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,65.65,0,13460.16,No rules applied to this segment,65.65,0,13460.16,No rules applied to this segment,65.65,0,13460.16,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.49,0,7412.98,No rules applied to this segment,49.49,0,7412.98,No rules applied to this segment,49.49,0,7412.98,No rules applied to this segment
Urban,Gold,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.41,0,8165.1,No rules applied to this segment,41.41,0,8165.1,No rules applied to this segment,41.41,0,8165.1,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.39,0,6268.56,No rules applied to this segment,39.39,0,6268.56,No rules applied to this segment,39.39,0,6268.56,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,37.37,0,4659.98,No rules applied to this segment,37.37,0,4659.98,No rules applied to this segment,37.37,0,4659.98,No rules applied to this segment
Urban,Gold,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,33.16,0,2469.43,No rules applied to this segment,33.16,0,2469.43,No rules applied to this segment,33.16,0,2469.43,No rules applied to this segment
Suburban,Gold,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.2,0,4291.19,No rules applied to this segment,41.2,0,4291.19,No rules applied to this segment,41.2,0,4291.19,No rules applied to this segment
Rural,Gold,Economy,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,4320.73,No rules applied to this segment,39.19,0,4320.73,No rules applied to this segment,39.19,0,4320.73,No rules applied to this segment
Urban,Gold,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,5392.48,No rules applied to this segment,49.24,0,5392.48,No rules applied to this segment,49.24,0,5392.48,No rules applied to this segment
Suburban,Gold,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,4906.32,No rules applied to this segment,39.19,0,4906.32,No rules applied to this segment,39.19,0,4906.32,No rules applied to this segment
Rural,Gold,Economy,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.2,0,4448.6,No rules applied to this segment,41.2,0,4448.6,No rules applied to this segment,41.2,0,4448.6,No rules applied to this segment
Urban,Gold,Economy,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,37.18,0,3787.25,No rules applied to this segment,37.18,0,3787.25,No rules applied to this segment,37.18,0,3787.25,No rules applied to this segment
Suburban,Gold,Economy,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,35.17,0,3309.54,No rules applied to this segment,35.17,0,3309.54,No rules applied to this segment,35.17,0,3309.54,No rules applied to this segment
Rural,Gold,Economy,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,39.19,0,4553.53,No rules applied to this segment,39.19,0,4553.53,No rules applied to this segment,39.19,0,4553.53,No rules applied to this segment
Urban,Silver,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,54.81,0,12831.32,No rules applied to this segment,54.81,0,12831.32,No rules applied to this segment,54.81,0,12831.32,No rules applied to this segment
Suburban,Silver,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,58.87,0,14320.21,No rules applied to this segment,58.87,0,14320.21,No rules applied to this segment,58.87,0,14320.21,No rules applied to this segment
Rural,Silver,Premium,HIGH,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,56.84,0,12638.99,No rules applied to this segment,56.84,0,12638.99,No rules applied to this segment,56.84,0,12638.99,No rules applied to this segment
Urban,Silver,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,52.78,0,10883.22,No rules applied to this segment,52.78,0,10883.22,No rules applied to this segment,52.78,0,10883.22,No rules applied to this segment
Suburban,Silver,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,64.96,0,16296.37,No rules applied to this segment,64.96,0,16296.37,No rules applied to this segment,64.96,0,16296.37,No rules applied to this segment
Rural,Silver,Premium,HIGH,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,54.81,0,13050.69,No rules applied to this segment,54.81,0,13050.69,No rules applied to this segment,54.81,0,13050.69,No rules applied to this segment
Urban,Silver,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,36.54,0,6063.47,No rules applied to this segment,36.54,0,6063.47,No rules applied to this segment,36.54,0,6063.47,No rules applied to this segment
Suburban,Silver,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,52.78,0,9066.96,No rules applied to this segment,52.78,0,9066.96,No rules applied to this segment,52.78,0,9066.96,No rules applied to this segment
Rural,Silver,Premium,HIGH,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,52.78,0,9137.73,No rules applied to this segment,52.78,0,9137.73,No rules applied to this segment,52.78,0,9137.73,No rules applied to this segment
Urban,Silver,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,69.69,0,20910.27,No rules applied to this segment,69.69,0,20910.27,No rules applied to this segment,69.69,0,20910.27,No rules applied to this segment
Suburban,Silver,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,67.67,0,18078.54,No rules applied to this segment,67.67,0,18078.54,No rules applied to this segment,67.67,0,18078.54,No rules applied to this segment
Rural,Silver,Premium,MEDIUM,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.49,0,11439.78,No rules applied to this segment,49.49,0,11439.78,No rules applied to this segment,49.49,0,11439.78,No rules applied to this segment
Urban,Silver,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,69.69,0,19114.76,No rules applied to this segment,69.69,0,19114.76,No rules applied to this segment,69.69,0,19114.76,No rules applied to this segment
Suburban,Silver,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,59.59,0,14933.05,No rules applied to this segment,59.59,0,14933.05,No rules applied to this segment,59.59,0,14933.05,No rules applied to this segment
Rural,Silver,Premium,MEDIUM,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,63.63,0,19057.67,No rules applied to this segment,63.63,0,19057.67,No rules applied to this segment,63.63,0,19057.67,No rules applied to this segment
Urban,Silver,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,35.35,0,5784.79,No rules applied to this segment,35.35,0,5784.79,No rules applied to this segment,35.35,0,5784.79,No rules applied to this segment
Suburban,Silver,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.49,0,8673.35,No rules applied to this segment,49.49,0,8673.35,No rules applied to this segment,49.49,0,8673.35,No rules applied to this segment
Rural,Silver,Premium,MEDIUM,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.49,0,8298.69,No rules applied to this segment,49.49,0,8298.69,No rules applied to this segment,49.49,0,8298.69,No rules applied to this segment
Urban,Silver,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,35.17,0,5422.9,No rules applied to this segment,35.17,0,5422.9,No rules applied to this segment,35.17,0,5422.9,No rules applied to this segment
Suburban,Silver,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.2,0,7728.99,No rules applied to this segment,41.2,0,7728.99,No rules applied to this segment,41.2,0,7728.99,No rules applied to this segment
Rural,Silver,Premium,LOW,CONTRACTED,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,37.18,0,7019.72,No rules applied to this segment,37.18,0,7019.72,No rules applied to this segment,37.18,0,7019.72,No rules applied to this segment
Urban,Silver,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,41.2,0,7941.13,No rules applied to this segment,41.2,0,7941.13,No rules applied to this segment,41.2,0,7941.13,No rules applied to this segment
Suburban,Silver,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,45.22,0,11557.98,No rules applied to this segment,45.22,0,11557.98,No rules applied to this segment,45.22,0,11557.98,No rules applied to this segment
Rural,Silver,Premium,LOW,STANDARD,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,55.27,0,14040.7,No rules applied to this segment,55.27,0,14040.7,No rules applied to this segment,55.27,0,14040.7,No rules applied to this segment
Urban,Silver,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,33.16,0,6175.62,No rules applied to this segment,33.16,0,6175.62,No rules applied to this segment,33.16,0,6175.62,No rules applied to this segment
Suburban,Silver,Premium,LOW,CUSTOM,0,0,0,No HWCO historical data for this segment,0,0,0,No Lyft competitor data for this segment,49.24,0,8599.0,No rules applied to this segment,49.24,0,8599.0,No rules applied to this segment,49.24,0,8599.0,No rules applied to this segment
