location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_duration_minutes,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_duration_minutes,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_duration_minutes,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_duration_minutes,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_duration_minutes,rec3_revenue_30d,rec3_explanation
Urban,Gold,Premium,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,58.87,3.463,73.2,14923.05,No rules applied to this segment,58.87,3.463,73.2,14923.05,No rules applied to this segment,58.87,3.463,73.2,14923.05,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,50.75,3.5235,63.53,11360.28,No rules applied to this segment,50.75,3.5235,63.53,11360.28,No rules applied to this segment,50.75,3.5235,63.53,11360.28,No rules applied to this segment
Rural,Gold,Premium,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,56.84,3.4936,76.9,15270.51,No rules applied to this segment,56.84,3.4936,76.9,15270.51,No rules applied to this segment,56.84,3.4936,76.9,15270.51,No rules applied to this segment
Urban,Gold,Premium,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,46.69,4.1246,47.23,9095.44,No rules applied to this segment,46.69,4.1246,47.23,9095.44,No rules applied to this segment,46.69,4.1246,47.23,9095.44,No rules applied to this segment
Suburban,Gold,Premium,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,50.75,4.1469,49.76,10472.25,No rules applied to this segment,50.75,4.1469,49.76,10472.25,No rules applied to this segment,50.75,4.1469,49.76,10472.25,No rules applied to this segment
Rural,Gold,Premium,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,62.93,4.2507,64.06,17135.83,No rules applied to this segment,62.93,4.2507,64.06,17135.83,No rules applied to this segment,62.93,4.2507,64.06,17135.83,No rules applied to this segment
Urban,Gold,Premium,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,34.51,4.8361,39.35,6567.27,No rules applied to this segment,34.51,4.8361,39.35,6567.27,No rules applied to this segment,34.51,4.8361,39.35,6567.27,No rules applied to this segment
Suburban,Gold,Premium,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,53.79,4.7605,35.89,9190.26,No rules applied to this segment,53.79,4.7605,35.89,9190.26,No rules applied to this segment,53.79,4.7605,35.89,9190.26,No rules applied to this segment
Rural,Gold,Premium,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,51.76,4.8635,35.25,8873.65,No rules applied to this segment,51.76,4.8635,35.25,8873.65,No rules applied to this segment,51.76,4.8635,35.25,8873.65,No rules applied to this segment
Urban,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,59.59,3.3484,72.34,14434.08,No rules applied to this segment,59.59,3.3484,72.34,14434.08,No rules applied to this segment,59.59,3.3484,72.34,14434.08,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,53.53,3.5983,62.98,12131.02,No rules applied to this segment,53.53,3.5983,62.98,12131.02,No rules applied to this segment,53.53,3.5983,62.98,12131.02,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,51.51,3.3555,70.22,12136.95,No rules applied to this segment,51.51,3.3555,70.22,12136.95,No rules applied to this segment,51.51,3.3555,70.22,12136.95,No rules applied to this segment
Urban,Gold,Premium,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,63.63,4.3245,63.26,17407.12,No rules applied to this segment,63.63,4.3245,63.26,17407.12,No rules applied to this segment,63.63,4.3245,63.26,17407.12,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,43.43,4.0964,55.35,9847.13,No rules applied to this segment,43.43,4.0964,55.35,9847.13,No rules applied to this segment,43.43,4.0964,55.35,9847.13,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,67.67,4.4485,63.96,19253.88,No rules applied to this segment,67.67,4.4485,63.96,19253.88,No rules applied to this segment,67.67,4.4485,63.96,19253.88,No rules applied to this segment
Urban,Gold,Premium,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,35.35,5.0549,37.01,6613.34,No rules applied to this segment,35.35,5.0549,37.01,6613.34,No rules applied to this segment,35.35,5.0549,37.01,6613.34,No rules applied to this segment
Suburban,Gold,Premium,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,48.48,4.7847,36.5,8466.62,No rules applied to this segment,48.48,4.7847,36.5,8466.62,No rules applied to this segment,48.48,4.7847,36.5,8466.62,No rules applied to this segment
Rural,Gold,Premium,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,51.51,4.8286,34.92,8685.34,No rules applied to this segment,51.51,4.8286,34.92,8685.34,No rules applied to this segment,51.51,4.8286,34.92,8685.34,No rules applied to this segment
Urban,Gold,Premium,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.19,3.6917,56.79,8216.25,No rules applied to this segment,39.19,3.6917,56.79,8216.25,No rules applied to this segment,39.19,3.6917,56.79,8216.25,No rules applied to this segment
Suburban,Gold,Premium,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,37.18,3.5509,45.64,6025.51,No rules applied to this segment,37.18,3.5509,45.64,6025.51,No rules applied to this segment,37.18,3.5509,45.64,6025.51,No rules applied to this segment
Rural,Gold,Premium,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,43.21,3.7078,60.4,9676.93,No rules applied to this segment,43.21,3.7078,60.4,9676.93,No rules applied to this segment,43.21,3.7078,60.4,9676.93,No rules applied to this segment
Urban,Gold,Premium,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,43.21,4.1599,53.0,9526.71,No rules applied to this segment,43.21,4.1599,53.0,9526.71,No rules applied to this segment,43.21,4.1599,53.0,9526.71,No rules applied to this segment
Suburban,Gold,Premium,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.24,4.1723,47.96,9853.1,No rules applied to this segment,49.24,4.1723,47.96,9853.1,No rules applied to this segment,49.24,4.1723,47.96,9853.1,No rules applied to this segment
Rural,Gold,Premium,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,45.22,4.0555,41.72,7651.02,No rules applied to this segment,45.22,4.0555,41.72,7651.02,No rules applied to this segment,45.22,4.0555,41.72,7651.02,No rules applied to this segment
Urban,Gold,Premium,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,37.18,4.914,33.72,6160.73,No rules applied to this segment,37.18,4.914,33.72,6160.73,No rules applied to this segment,37.18,4.914,33.72,6160.73,No rules applied to this segment
Suburban,Gold,Premium,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.24,4.7825,35.25,8301.03,No rules applied to this segment,49.24,4.7825,35.25,8301.03,No rules applied to this segment,49.24,4.7825,35.25,8301.03,No rules applied to this segment
Rural,Gold,Premium,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,48.24,4.8186,35.27,8198.49,No rules applied to this segment,48.24,4.8186,35.27,8198.49,No rules applied to this segment,48.24,4.8186,35.27,8198.49,No rules applied to this segment
Urban,Gold,Economy,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,42.63,2.6891,39.72,4553.36,No rules applied to this segment,42.63,2.6891,39.72,4553.36,No rules applied to this segment,42.63,2.6891,39.72,4553.36,No rules applied to this segment
Suburban,Gold,Economy,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,40.6,2.7605,39.68,4447.19,No rules applied to this segment,40.6,2.7605,39.68,4447.19,No rules applied to this segment,40.6,2.7605,39.68,4447.19,No rules applied to this segment
Rural,Gold,Economy,HIGH,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,46.69,2.7245,43.92,5586.93,No rules applied to this segment,46.69,2.7245,43.92,5586.93,No rules applied to this segment,46.69,2.7245,43.92,5586.93,No rules applied to this segment
Urban,Gold,Economy,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,58.87,3.2015,50.56,9529.16,No rules applied to this segment,58.87,3.2015,50.56,9529.16,No rules applied to this segment,58.87,3.2015,50.56,9529.16,No rules applied to this segment
Suburban,Gold,Economy,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,64.96,3.3808,67.31,14782.4,No rules applied to this segment,64.96,3.3808,67.31,14782.4,No rules applied to this segment,64.96,3.3808,67.31,14782.4,No rules applied to this segment
Rural,Gold,Economy,HIGH,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,69.02,3.2445,60.43,13532.42,No rules applied to this segment,69.02,3.2445,60.43,13532.42,No rules applied to this segment,69.02,3.2445,60.43,13532.42,No rules applied to this segment
Urban,Gold,Economy,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,42.63,3.7187,38.02,6027.24,No rules applied to this segment,42.63,3.7187,38.02,6027.24,No rules applied to this segment,42.63,3.7187,38.02,6027.24,No rules applied to this segment
Suburban,Gold,Economy,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,42.63,3.8056,43.22,7011.7,No rules applied to this segment,42.63,3.8056,43.22,7011.7,No rules applied to this segment,42.63,3.8056,43.22,7011.7,No rules applied to this segment
Rural,Gold,Economy,HIGH,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,38.57,3.5412,32.67,4462.2,No rules applied to this segment,38.57,3.5412,32.67,4462.2,No rules applied to this segment,38.57,3.5412,32.67,4462.2,No rules applied to this segment
Urban,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.39,2.7034,35.92,3825.01,No rules applied to this segment,39.39,2.7034,35.92,3825.01,No rules applied to this segment,39.39,2.7034,35.92,3825.01,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,37.37,2.6868,32.55,3268.21,No rules applied to this segment,37.37,2.6868,32.55,3268.21,No rules applied to this segment,37.37,2.6868,32.55,3268.21,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,43.43,2.6839,52.45,6113.67,No rules applied to this segment,43.43,2.6839,52.45,6113.67,No rules applied to this segment,43.43,2.6839,52.45,6113.67,No rules applied to this segment
Urban,Gold,Economy,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,63.63,3.4945,63.44,14106.2,No rules applied to this segment,63.63,3.4945,63.44,14106.2,No rules applied to this segment,63.63,3.4945,63.44,14106.2,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,65.65,3.3661,60.91,13460.16,No rules applied to this segment,65.65,3.3661,60.91,13460.16,No rules applied to this segment,65.65,3.3661,60.91,13460.16,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.49,3.1775,47.14,7412.98,No rules applied to this segment,49.49,3.1775,47.14,7412.98,No rules applied to this segment,49.49,3.1775,47.14,7412.98,No rules applied to this segment
Urban,Gold,Economy,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.41,3.8937,50.64,8165.1,No rules applied to this segment,41.41,3.8937,50.64,8165.1,No rules applied to this segment,41.41,3.8937,50.64,8165.1,No rules applied to this segment
Suburban,Gold,Economy,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.39,3.8412,41.43,6268.56,No rules applied to this segment,39.39,3.8412,41.43,6268.56,No rules applied to this segment,39.39,3.8412,41.43,6268.56,No rules applied to this segment
Rural,Gold,Economy,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,37.37,3.604,34.6,4659.98,No rules applied to this segment,37.37,3.604,34.6,4659.98,No rules applied to this segment,37.37,3.604,34.6,4659.98,No rules applied to this segment
Urban,Gold,Economy,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,33.16,2.8898,25.77,2469.43,No rules applied to this segment,33.16,2.8898,25.77,2469.43,No rules applied to this segment,33.16,2.8898,25.77,2469.43,No rules applied to this segment
Suburban,Gold,Economy,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.2,2.6727,38.97,4291.19,No rules applied to this segment,41.2,2.6727,38.97,4291.19,No rules applied to this segment,41.2,2.6727,38.97,4291.19,No rules applied to this segment
Rural,Gold,Economy,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.19,2.7771,39.7,4320.73,No rules applied to this segment,39.19,2.7771,39.7,4320.73,No rules applied to this segment,39.19,2.7771,39.7,4320.73,No rules applied to this segment
Urban,Gold,Economy,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.24,3.1679,34.57,5392.48,No rules applied to this segment,49.24,3.1679,34.57,5392.48,No rules applied to this segment,49.24,3.1679,34.57,5392.48,No rules applied to this segment
Suburban,Gold,Economy,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.19,3.2358,38.69,4906.32,No rules applied to this segment,39.19,3.2358,38.69,4906.32,No rules applied to this segment,39.19,3.2358,38.69,4906.32,No rules applied to this segment
Rural,Gold,Economy,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.2,3.1099,34.72,4448.6,No rules applied to this segment,41.2,3.1099,34.72,4448.6,No rules applied to this segment,41.2,3.1099,34.72,4448.6,No rules applied to this segment
Urban,Gold,Economy,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,37.18,3.5579,28.63,3787.25,No rules applied to this segment,37.18,3.5579,28.63,3787.25,No rules applied to this segment,37.18,3.5579,28.63,3787.25,No rules applied to this segment
Suburban,Gold,Economy,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,35.17,3.4306,27.43,3309.54,No rules applied to this segment,35.17,3.4306,27.43,3309.54,No rules applied to this segment,35.17,3.4306,27.43,3309.54,No rules applied to this segment
